id,title,country,flag,published,canonical_url,org,member_count,in_scope,safety_score
doc-29730131c12f,대학 AI 활용 윤리 가이드라인,South Korea,🇰🇷,2026-08-28,https://www.kcue.or.kr/notice/sub06.php?pagenumber=1&at=view&idx=658867,"교육부,한국대학교육협의회",1,True,10
doc-5e047dee1b42,고영향 인공지능 판단 가이드라인,South Korea,🇰🇷,2026-08-28,https://www.nia.or.kr/common/board/Download.do?bcIdx=28987&cbIdx=99835&fileNo=27,과기부/NIA/TTA/ETRI,2,True,17
doc-4b73b684a052,고영향 인공지능 사업자 책무 가이드라인,South Korea,🇰🇷,2026-08-28,https://www.nia.or.kr/common/board/Download.do?bcIdx=28987&cbIdx=99835&fileNo=23,과기부/NIA/TTA/ETRI,2,True,17
doc-23d88160e523,인공지능 투명성 확보 가이드라인,South Korea,🇰🇷,2026-08-28,https://www.nia.or.kr/common/board/Download.do?bcIdx=28987&cbIdx=99835&fileNo=14,과기부/NIA/TTA/ETRI,2,True,17
doc-a34628469a02,인공지능 안전성 확보 가이드라인,South Korea,🇰🇷,2026-08-28,https://www.nia.or.kr/common/board/Download.do?bcIdx=28987&cbIdx=99835&fileNo=15,과기부/NIA/TTA/ETRI,2,True,17
doc-10a596632089,대한민국 인공지능 윤리원칙,South Korea,🇰🇷,2026-08-25,https://ai.kisdi.re.kr,"과기부,KISDI,부처합동",1,True,10
doc-d8521b03515b,전북 AI 리터러시 교육 가이드라인,South Korea,🇰🇷,2026-08-21,https://aihub.or.kr/aihubnews/qlityguidance/view.do?nttSn=10404,전북특별자치도교육청,5,True,10
doc-c9f1d62a692e,보건의료데이터 활용 가이드라인,South Korea,🇰🇷,2026-08-04,https://iaae.ai/research/?bmode=view&idx=172866259,보건복지부,1,False,7
doc-a6f2cb9bcb4d,가명정보 처리 가이드라인,South Korea,🇰🇷,2026-08-04,https://iaae.ai/research/?bmode=view&idx=172866208,개인정보보호위원회,1,False,7
doc-07e58207b401,AI 시스템 투명성 의무 시행 안내,European Union,🇪🇺,2026-08-02,https://commission.europa.eu/news-and-media/news/safer-and-more-transparent-ai-2026-08-02_en,유럽연합 집행위원회(European Commission) / 커뮤니케이션 총국(Directorate-General for Communication),1,True,7
doc-e3167b414087,AI 시장감독 및 혁신촉진법(KI-MIG),Germany,🇩🇪,2026-07-30,https://www.bundesregierung.de/breg-de/service/fragen-und-anworten/umsetzung-ki-verordnung-2406638?utm_source=chatgpt.com,독일 연방정부(Bundesregierung) / 연방의회(Bundestag·Bundesrat),1,True,6
doc-c064ede8ad45,생성형 AI 안전·보안 이용 공동지침,Singapore,🇸🇬,2026-07-28,https://www.csa.gov.sg/alerts-and-advisories/advisories/ad-2026-008/,"싱가포르 사이버보안청(Cyber Security Agency of Singapore, CSA) / 정보통신미디어개발청(Infocomm Media Development Authority, IMDA)",1,True,18
doc-0749091cfa8e,외국산 첨단 로봇 장치가 초래하는 위협에 관한 국가안보 결정,United States,🇺🇸,2026-07-27,https://www.fcc.gov/sites/default/files/robots-nsd.pdf,"미국 연방통신위원회(Federal Communications Commission, FCC) 관련 / 백악관 소집 행정부 부처 간 기구",1,False,6
doc-03087fc79b5d,AI 디지털 옴니버스 (AI법 개정안),European Union,🇪🇺,2026-07-27,https://eur-lex.europa.eu/eli/reg/2026/1744/oj/eng,유럽연합(European Parliament / Council of the European Union),1,True,15
doc-fb07bf578d97,영국 총리 AI 태스크포스,United Kingdom,🇬🇧,2026-07-24,https://www.gov.uk/government/news/ai-to-power-change-at-the-heart-of-government-as-lord-vallance-appointed-chair-of-new-pm-ai-taskforce,영국 내각부(Cabinet Office) / Office for the Prime Minister and the Cabinet(OPMC),1,True,14
doc-7f438d130514,AI 투명성 강화 공개협의,Canada,🇨🇦,2026-07-23,https://www.mofa.go.kr/www/brd/m_29692/view.do?seq=93,"캐나다 혁신과학경제개발부(Innovation, Science and Economic Development Canada, ISED)",1,True,6
