url,host_kind,status,error
http://ai4school.org/[자료제목],original,,UnicodeEncodeError: 'ascii' codec can't encode characters in position 6-9: ordinal not in range(128)
http://board.sejong.ac.kr/boardview.do?pkid=160936¤tPage=1&searchField=ALL&siteGubun=19&menuGubun=1&bbsConfigFK=335&searchLowItem=ALL&searchValue=,original,,UnicodeEncodeError: 'ascii' codec can't encode character '\xa4' in position 29: ordinal not in range(128)
http://aiiaorg.cn/index.php?m=content&c=index&a=show&catid=34&id=115   https://www.sohu.com/a/501708742_100207327,original,,InvalidURL: URL can't contain control characters. '/index.php?m=content&c=index&a=show&catid=34&id=115   https://www.sohu.com/a/501708742_100207327' (found at least ' ')
http://alicia.concytec.gob.pe/vufind/   http://portal.concytec.gob.pe/index.php/informacion-cti/alicia/red-nacional-de-repositorios-digitales-de-ciencia-tecnologia-e-innovacion-de-acceso-abierto-renare,original,,InvalidURL: URL can't contain control characters. '/vufind/   http://portal.concytec.gob.pe/index.php/informacion-cti/alicia/red-nacional-de-repositorios-digitales-de-ciencia-tecnologia-e-innovacion-de-acceso-abierto-renare' (found at least ' ')
http://bedigital.brussels/wp-content/uploads/2018/05/Plan-NextTech-FR-NExtTech.pdf,original,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
http://fi.china-embassy.gov.cn/eng/kxjs/201710/P020210628714286134479.pdf   http://most.gov.cn/kjbgz/201906/t20190617_147107.htm   https://www.newamerica.org/cybersecurity-initiative/digichina/blog/translation-chinese-expert-group-offers-governance-princi,original,,InvalidURL: URL can't contain control characters. '/eng/kxjs/201710/P020210628714286134479.pdf   http://most.gov.cn/kjbgz/201906/t20190617_147107.htm   https://www.newamerica.org/cybersecurity-initiative/digichina/blog/translation-chinese-expert-group-offers-governance-princi' (found at least ' ')
http://fondzanauku.gov.rs/the-program-prisma/?lang=en   https://fondzanauku.gov.rs/programs/?lang=en,original,,InvalidURL: URL can't contain control characters. '/the-program-prisma/?lang=en   https://fondzanauku.gov.rs/programs/?lang=en' (found at least ' ')
http://dbtindia.gov.in/sites/default/files/Draft1-Biological_Data_Policy.pdf,original,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
"http://most.gov.cn/kjbgz/201906/t20190617_147107.htm   http://ir.china-embassy.gov.cn/eng/sgzc/202310/t20231029_11170169.htm#:~:text=It%20stated%20eight%20principles%20for,agile%20governance.In%202020%2C%20the",original,,InvalidURL: URL can't contain control characters. '/kjbgz/201906/t20190617_147107.htm   http://ir.china-embassy.gov.cn/eng/sgzc/202310/t20231029_11170169.htm' (found at least ' ')
http://opendatastore.brussels/fr/   https://opendata.brussels.be/page/home/,original,,InvalidURL: URL can't contain control characters. '/fr/   https://opendata.brussels.be/page/home/' (found at least ' ')
http://prosoft.economia.gob.mx/ ; https://www.ciiia.mx/;,original,,InvalidURL: URL can't contain control characters. '/ ; https://www.ciiia.mx/;' (found at least ' ')
http://participa.br/estrategia-brasileira-de-inteligencia-artificial/estrategia-brasileira-de-inteligencia-artificial-aplicacao-nos-setores-produtivos,original,,ConnectionResetError: [Errno 54] Connection reset by peer
http://www.ai.iitkgp.ac.in/Research/,original,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
http://www.cac.gov.cn/2017-11/16/c_1121964697.htm   https://www.most.gov.cn/tpxw/201902/t20190221_145137.html,original,,InvalidURL: URL can't contain control characters. '/2017-11/16/c_1121964697.htm   https://www.most.gov.cn/tpxw/201902/t20190221_145137.html' (found at least ' ')
http://www.fpip.kz/index.php/en/grant-programs/phd   http://fpip.kz/images/KZ_FPIP_PhD-Grant-Program_eng_2version.pdf,original,,InvalidURL: URL can't contain control characters. '/index.php/en/grant-programs/phd   http://fpip.kz/images/KZ_FPIP_PhD-Grant-Program_eng_2version.pdf' (found at least ' ')
http://www.idris.fr/eng/ia/,original,404,HTTPError 404
http://www.mcit.gov.eg              http://www.sis.gov.eg/Story/196763/%D8%B1%D8%A6%D9%8A%D8%B3-%D8%A7%D9%84%D9%88%D8%B2%D8%B1%D8%A7%D8%A1-%D9%8A%D8%B5%D8%AF%D8%B1-%D9%82%D8%B1%D8%A7%D8%B1%D8%A7-%D8%A8%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D8%A7%D9%84%D9%85%D8%A,original,,InvalidURL: URL can't contain control characters. 'www.mcit.gov.eg              http' (found at least ' ')
http://192.168.35.13:15871/cgi-bin/blockpage.cgi?ws-session=1048163155,original,,URLError: <urlopen error timed out>
http://fpip.kz/index.php/en/,original,,URLError: <urlopen error timed out>
http://www.msit.go.kr/web/msipContents/contentsView.do?cateId=mssw01174&artId=1373921,original,404,HTTPError 404
http://siai.ijs.si,original,,URLError: <urlopen error timed out>
http://legislation.nysenate.gov/pdf/bills/2025/S933,original,,URLError: <urlopen error _ssl.c:1112: The handshake operation timed out>
http://tap.mk.gov.lv/doc/2020_02/IZ_MI%5b1%5d.2.docx,original,,URLError: <urlopen error timed out>
http://www.roboethics.org/index_file/Roboethics%20Roadmap%20Rel.1.2.pdf[자료제목],original,,UnicodeEncodeError: 'ascii' codec can't encode characters in position 51-54: ordinal not in range(128)
http://tap.mk.gov.lv/lv/mk/tap/?pid=40475479,original,,URLError: <urlopen error timed out>
http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/L13709compilado.htm,original,,ConnectionResetError: [Errno 54] Connection reset by peer
https://,original,,URLError: <urlopen error no host given>
