id,title,safety_score,published,canonical_url,country
doc-29730131c12f,대학 AI 활용 윤리 가이드라인,10,2026-08-28,https://www.kcue.or.kr/notice/sub06.php?pagenumber=1&at=view&idx=658867,South Korea
doc-5e047dee1b42,고영향 인공지능 판단 가이드라인,17,2026-08-28,https://www.nia.or.kr/common/board/Download.do?bcIdx=28987&cbIdx=99835&fileNo=27,South Korea
doc-4b73b684a052,고영향 인공지능 사업자 책무 가이드라인,17,2026-08-28,https://www.nia.or.kr/common/board/Download.do?bcIdx=28987&cbIdx=99835&fileNo=23,South Korea
doc-23d88160e523,인공지능 투명성 확보 가이드라인,17,2026-08-28,https://www.nia.or.kr/common/board/Download.do?bcIdx=28987&cbIdx=99835&fileNo=14,South Korea
doc-a34628469a02,인공지능 안전성 확보 가이드라인,17,2026-08-28,https://www.nia.or.kr/common/board/Download.do?bcIdx=28987&cbIdx=99835&fileNo=15,South Korea
doc-10a596632089,대한민국 인공지능 윤리원칙,10,2026-08-25,https://ai.kisdi.re.kr,South Korea
doc-d8521b03515b,전북 AI 리터러시 교육 가이드라인,10,2026-08-21,https://aihub.or.kr/aihubnews/qlityguidance/view.do?nttSn=10404,South Korea
doc-07e58207b401,AI 시스템 투명성 의무 시행 안내,7,2026-08-02,https://commission.europa.eu/news-and-media/news/safer-and-more-transparent-ai-2026-08-02_en,European Union
doc-e3167b414087,AI 시장감독 및 혁신촉진법(KI-MIG),6,2026-07-30,https://www.bundesregierung.de/breg-de/service/fragen-und-anworten/umsetzung-ki-verordnung-2406638?utm_source=chatgpt.com,Germany
doc-c064ede8ad45,생성형 AI 안전·보안 이용 공동지침,18,2026-07-28,https://www.csa.gov.sg/alerts-and-advisories/advisories/ad-2026-008/,Singapore
doc-03087fc79b5d,AI 디지털 옴니버스 (AI법 개정안),15,2026-07-27,https://eur-lex.europa.eu/eli/reg/2026/1744/oj/eng,European Union
doc-fb07bf578d97,영국 총리 AI 태스크포스,14,2026-07-24,https://www.gov.uk/government/news/ai-to-power-change-at-the-heart-of-government-as-lord-vallance-appointed-chair-of-new-pm-ai-taskforce,United Kingdom
doc-7f438d130514,AI 투명성 강화 공개협의,6,2026-07-23,https://www.mofa.go.kr/www/brd/m_29692/view.do?seq=93,Canada
doc-aebd0e882194,AI와 개인금융,7,2026-07-21,https://www.oecd.org/en/publications/artificial-intelligence-and-personal-finance_2858fdf4-en.html,OECD
doc-0d97f50e5b78,정부의 생성형 AI 실험,13,2026-07-20,https://www.oecd.org/content/dam/oecd/en/publications/reports/2026/07/generative-ai-experimentation-in-government_706b6f2b/42815683-en.pdf,OECD
doc-e89a7e0042d2,AI 소비자 안전 우선과제,12,2026-07-20,https://www.mofa.go.kr/www/brd/m_29692/view.do?seq=99,Australia
doc-1176892a6521,세계인공지능협력기구(WAICO) 설립 협정 서명,13,2026-07-17,https://english.www.gov.cn/news/202607/17/content_WS6a59a226c6d00ca5f9a0c432.html,
doc-3a76721c0e46,[UN] 군사 영역 AI와 국제평화·안보 함의에 관한 비공식 의견교환 관련 국가 견해 취합,10,2026-07-17,https://digitallibrary.un.org/record/4123862?ln=en,United Nations
doc-105e43a90f08,호주 AI 표준,6,2026-07-15,https://www.pm.gov.au/media/ai-australias-interests,Australia
