id,collection,title,date,page_url,source_urls,canonical_url,reason
mofa-governance-287,mofa-governance,[OHCHR] 인권과 새로운·신흥 디지털 기술,2026-06-18,https://www.mofa.go.kr/www/brd/m_29691/view.do?seq=287,,,no-original-landing
mofa-governance-209,mofa-governance,[UNHRC] 여성과 여아의 권리와 AI 및 관련 디지털 기술,2026-05-18,https://www.mofa.go.kr/www/brd/m_29691/view.do?seq=209,,,no-original-landing
mofa-governance-115,mofa-governance,[GPAI] 2026 뉴델리 이사회 공동의장 요약 성명,2026-02-20,https://www.mofa.go.kr/www/brd/m_29691/view.do?seq=115,https://oecd.ai/en/gpai-council-meeting-co-chairs-summary-statement-2026,,no-original-landing
mofa-governance-259,mofa-governance,[UNHRC] 대테러 목적으로 AI 활용 시 인권 보호,2025-12-01,https://www.mofa.go.kr/www/brd/m_29691/view.do?seq=259,,,no-original-landing
mofa-governance-143,mofa-governance,[G20] 2025 남아공 정상선언,2025-11-22,https://www.mofa.go.kr/www/brd/m_29691/view.do?seq=143,,,no-original-landing
mofa-governance-256,mofa-governance,[OECD] 유럽연합 AI 조정계획 이행 진전 제1권,2025-11-03,https://www.mofa.go.kr/www/brd/m_29691/view.do?seq=256,https://oecd.ai/en/ai-publications/european-union-coordinated-plan-on-artificial-intelligence-volume-1,,no-original-landing
mofa-governance-280,mofa-governance,[OHCHR] AI 조달 및 배치: 유엔 기업과 인권 이행원칙과의 정합성 보장,2025-05-15,https://www.mofa.go.kr/www/brd/m_29691/view.do?seq=280,,,no-original-landing
mofa-governance-114,mofa-governance,[GPAI] 2024 베오그라드 장관선언,2024-12-04,https://www.mofa.go.kr/www/brd/m_29691/view.do?seq=114,https://wp.oecd.ai/app/uploads/2024/12/GPAI-Belgrade-Declaration-final-3.pdf,,no-original-landing
mofa-governance-96,mofa-governance,[AI 서울 정상회의] AI 안전 과학 국제협력 의향서,2024-05-21,https://www.mofa.go.kr/www/brd/m_29691/view.do?seq=96,https://www.mofa.go.kr/eng/brd/m_5674/view.do?seq=321007,,no-original-landing
mofa-governance-95,mofa-governance,[AI 서울 정상회의] 안전하고 혁신적이며 포용적인 AI를 위한 서울 선언,2024-05-21,https://www.mofa.go.kr/www/brd/m_29691/view.do?seq=95,https://www.mofa.go.kr/eng/brd/m_5674/view.do?seq=321007&page=1,,no-original-landing
