id,collection,title,date,page_url,source_urls,canonical_url,reasons
mofa-governance-287,mofa-governance,[OHCHR] 인권과 새로운·신흥 디지털 기술,2026-06-18,https://www.mofa.go.kr/www/brd/m_29691/view.do?seq=287,,,curator-only
mofa-governance-209,mofa-governance,[UNHRC] 여성과 여아의 권리와 AI 및 관련 디지털 기술,2026-05-18,https://www.mofa.go.kr/www/brd/m_29691/view.do?seq=209,,,curator-only
mofa-governance-115,mofa-governance,[GPAI] 2026 뉴델리 이사회 공동의장 요약 성명,2026-02-20,https://www.mofa.go.kr/www/brd/m_29691/view.do?seq=115,https://oecd.ai/en/gpai-council-meeting-co-chairs-summary-statement-2026,,curator-only
mofa-governance-259,mofa-governance,[UNHRC] 대테러 목적으로 AI 활용 시 인권 보호,2025-12-01,https://www.mofa.go.kr/www/brd/m_29691/view.do?seq=259,,,curator-only
mofa-governance-143,mofa-governance,[G20] 2025 남아공 정상선언,2025-11-22,https://www.mofa.go.kr/www/brd/m_29691/view.do?seq=143,,,curator-only
mofa-governance-256,mofa-governance,[OECD] 유럽연합 AI 조정계획 이행 진전 제1권,2025-11-03,https://www.mofa.go.kr/www/brd/m_29691/view.do?seq=256,https://oecd.ai/en/ai-publications/european-union-coordinated-plan-on-artificial-intelligence-volume-1,,curator-only
mofa-governance-280,mofa-governance,[OHCHR] AI 조달 및 배치: 유엔 기업과 인권 이행원칙과의 정합성 보장,2025-05-15,https://www.mofa.go.kr/www/brd/m_29691/view.do?seq=280,,,curator-only
mofa-governance-114,mofa-governance,[GPAI] 2024 베오그라드 장관선언,2024-12-04,https://www.mofa.go.kr/www/brd/m_29691/view.do?seq=114,https://wp.oecd.ai/app/uploads/2024/12/GPAI-Belgrade-Declaration-final-3.pdf,,curator-only
mofa-governance-96,mofa-governance,[AI 서울 정상회의] AI 안전 과학 국제협력 의향서,2024-05-21,https://www.mofa.go.kr/www/brd/m_29691/view.do?seq=96,https://www.mofa.go.kr/eng/brd/m_5674/view.do?seq=321007,,curator-only
mofa-governance-95,mofa-governance,[AI 서울 정상회의] 안전하고 혁신적이며 포용적인 AI를 위한 서울 선언,2024-05-21,https://www.mofa.go.kr/www/brd/m_29691/view.do?seq=95,https://www.mofa.go.kr/eng/brd/m_5674/view.do?seq=321007&page=1,,curator-only
mofa-country-policy-93,mofa-country-policy,[캐나다] AI 투명성 강화 공개협의,2026-07-23,https://www.mofa.go.kr/www/brd/m_29692/view.do?seq=93,,,curator-only
mofa-country-policy-99,mofa-country-policy,[호주] AI 소비자 안전 우선과제,2026-07-20,https://www.mofa.go.kr/www/brd/m_29692/view.do?seq=99,,,curator-only
mofa-country-policy-76,mofa-country-policy,[캐나다] 개인정보 및 소비자 데이터 보호법안 제출,2026-06-15,https://www.mofa.go.kr/www/brd/m_29692/view.do?seq=76,,,curator-only
mofa-country-policy-75,mofa-country-policy,"[캐나다] Bill C-34, Safe Social Media Act (안전한 소셜미디어 법안) 제출",2026-06-10,https://www.mofa.go.kr/www/brd/m_29692/view.do?seq=75,,,curator-only
mofa-country-policy-63,mofa-country-policy,[중국] 산업별 고품질 데이터셋 구축 행동 추진 실시방안,2026-06-08,https://www.mofa.go.kr/www/brd/m_29692/view.do?seq=63,,,curator-only
mofa-country-policy-79,mofa-country-policy,[호주] AI 도입 실행 가이드 / 정부의 책임 있는 AI 활용 정책 2.0,2026-05-05,https://www.mofa.go.kr/www/brd/m_29692/view.do?seq=79,,,curator-only
iaae-ethics-172866259,iaae-ethics,[보건복지부] 보건의료데이터 활용 가이드라인,2026-08-04,https://iaae.ai/research/?bmode=view&idx=172866259,,,curator-only
iaae-ethics-172866208,iaae-ethics,[개인정보보호위원회] 가명정보 처리 가이드라인,2026-08-04,https://iaae.ai/research/?bmode=view&idx=172866208,,,curator-only
iaae-ethics-171888358,iaae-ethics,[서울특별시] 서울특별시 인공지능 활용 윤리 지침,2026-06-18,https://iaae.ai/research/?bmode=view&idx=171888358,,,curator-only
iaae-ethics-171721954,iaae-ethics,[CISA 등] CAREFUL ADOPTION OF AGENTIC AI SERVICES,2026-06-09,https://iaae.ai/research/?bmode=view&idx=171721954,,,curator-only
iaae-ethics-171471905,iaae-ethics,[과학기술정보통신부] 인공지능 안전성 확보 가이드라인,2026-05-26,https://iaae.ai/research/?bmode=view&idx=171471905,,,curator-only
iaae-ethics-171122901,iaae-ethics,"[개인정보보호위원회,KISA] 개인정보 영향평가 수행안내서",2026-05-03,https://iaae.ai/research/?bmode=view&idx=171122901,,,curator-only
iaae-ethics-171118923,iaae-ethics,"[과학기술정보통신부,KISDI] 인공지능 영향평가 가이드라인",2026-05-03,https://iaae.ai/research/?bmode=view&idx=171118923,,,curator-only
iaae-ethics-170970022,iaae-ethics,"[ITU,CRC 등] 인공지능과 아동 권리에 대한 공동성명",2026-04-22,https://iaae.ai/research/?bmode=view&idx=170970022,,,curator-only
iaae-ethics-170644595,iaae-ethics,[과학기술정보통신부] 인공지능기본법 지원데스크 사례집,2026-04-01,https://iaae.ai/research/?bmode=view&idx=170644595,,,curator-only
iaae-ethics-168110608,iaae-ethics,[IAAE] IAAE 감정 교류 AI 윤리 가이드라인_250927제정 (한글본),2025-10-04,https://iaae.ai/research/?bmode=view&idx=168110608,,,curator-only
iaae-ethics-167691596,iaae-ethics,[KBS] KBS AI 가이드라인,2025-09-11,https://iaae.ai/research/?bmode=view&idx=167691596,,,curator-only
iaae-ethics-158098071,iaae-ethics,[방송통신위원회] 생성형 AI 서비스 이용자 보호 가이드라인,2025-03-15,https://iaae.ai/research/?bmode=view&idx=158098071,,,curator-only
iaae-ethics-59212715,iaae-ethics,"[개인정보보호위원회] 인공지능 개발,서비스를 위한 공개된 개인정보 처리 안내서",2024-08-07,https://iaae.ai/research/?bmode=view&idx=59212715,,,curator-only
iaae-ethics-16768380,iaae-ethics,[유네스코] ChatGPT and AI in higher education Quick Start Guide,2023-11-03,https://iaae.ai/research/?bmode=view&idx=16768380,,,curator-only
iaae-ethics-16227302,iaae-ethics,[한국인터넷자율정책기구] 챗봇 윤리 원칙,2023-09-04,https://iaae.ai/research/?bmode=view&idx=16227302,,,curator-only
iaae-ethics-15458418,iaae-ethics,[세종대학교] 생성형 AI  교수 학습 기본 활용 가이드라인,2023-06-17,https://iaae.ai/research/?bmode=view&idx=15458418,,,curator-only
iaae-ethics-14650700,iaae-ethics,[한국정보통신기술협회(TTA)] 2022 신뢰할 수 있는 인공지능 개발 안내서(안),2023-04-03,https://iaae.ai/research/?bmode=view&idx=14650700,,,curator-only
