id,title,safety_score,published,canonical_url,safety_reasons
doc-a7a1318854b2,사우디 정부기관 AI 오피스,11,2026-08-28,https://www.spa.gov.sa/N2216881,"-oecd-only;+\brisk\b|위험\s*관리|위험관리|고위험|hi;+governan|거버넌스;+(?:AI|인공지능).{0,12}(?:framewo;+standard|표준|iso/?iec;+oversight|감독|감사|audit|evalua;+transpar|투명|explainab|설명\s*가;-adopt(ion)?\b|도입\s*가속|활용\s*촉;+core+ai"
doc-246d95b52513,사우디 생성형 AI 엔지니어링 설계 도구,-1,2026-08-28,https://www.swa.gov.sa/en/,-oecd-only
doc-f95c352620d7,호주 원주민 데이터 거버넌스 프레임워크,4,2026-08-17,https://www.niaa.gov.au/our-work/data-evaluation-and-research/framework-governance-indigenous-data-gid,-oecd-only;+governan|거버넌스;+principle|원칙|권고|recommendati;+core+ai
doc-6ce22b33d31c,호주 문서 등록 에이전트(DRA),-1,2026-08-17,https://oecd.ai/en/dashboards/policy-initiatives/document-register-agent,-oecd-only
doc-eefdd5bd30cf,호주 farmpredict,-1,2026-08-13,https://www.agriculture.gov.au/abares/research-topics/climate/drought/farmpredict,-oecd-only
doc-9ccb7f64726f,호주 원격조종 시범사업,5,2026-08-13,https://oecd.ai/en/dashboards/policy-initiatives/remote-pilot-program,-oecd-only;+\bsafety\b|안전성|안전\s*확보;+regulat|규제
doc-0cd9ef79cc4a,사우디 물 분야 소셜미디어 분석,1,2026-08-06,https://api.oecdai.org/storage/policy-initiatives/Aug2026/117ojp1rjqpmshj8hag-social-media-analytics.pdf,-oecd-only;+transpar|투명|explainab|설명\s*가
doc-b06fe945255b,캐나다 SOPHOS AI 언어학습 도구,2,2026-08-06,https://oecd.ai/en/dashboards/policy-initiatives/sophos,-oecd-only;-adopt(ion)?\b|도입\s*가속|활용\s*촉;+safety-core-floor;+core+ai
doc-9bed576a11c1,사우디 H2O AI 어시스턴트,2,2026-08-06,https://api.oecdai.org/storage/policy-initiatives/Aug2026/117ojp1rjqpmshitbju-h2o-ai-assistant-overview.pdf,-oecd-only;+regulat|규제
doc-2153bf16b3c8,브라질 하원 Ulysses 프로그램,-1,2026-08-05,https://www.camara.leg.br/noticias/1232322-camara-lanca-nova-fase-do-programa-ulysses-e-politicas-de-governanca-em-inteligencia-artificial,-oecd-only
